Year,Country,CountryCode,Variable,VariableCode,UnconsolidatedVariableCode,UnconsolidatedVariableName,ActivityCode,Activity,ActivityCombination,Value,UnitType,ValueUSD,Metadata
2004,Belgium,056,Output,14,14,Output (valuation not defined),37,Recycling,37,1.86319995117E9,M,2.31763772004E9,
2004,Belgium,056,Output,14,14,Output (valuation not defined),40,"Electricity, gas, steam and hot water supply",40,2.572769921875E10,M,3.200273063649E10,
2004,Belgium,056,Output,14,14,Output (valuation not defined),41,"Water collection, purification, distribution",41,1.38159997559E9,M,1.71857465723E9,
2004,Bolivia (Plurinational State of),068,Output,14,13,Output at producers' prices,15,Food and beverages,15,9.374468704E9,M,1.18121891615E9,Special note:UNIDO Estimate
2004,Bolivia (Plurinational State of),068,Output,14,13,Output at producers' prices,16,Tobacco products,16,1.31258824E8,M,1.653911392E7,Special note:UNIDO Estimate
2004,Bolivia (Plurinational State of),068,Output,14,13,Output at producers' prices,17,Textiles,17,3.3991147E8,M,4.283014546E7,Special note:UNIDO Estimate
2004,Bolivia (Plurinational State of),068,Output,14,13,Output at producers' prices,18,"Wearing apparel, fur",18,4.0801851E8,M,5.141189302E7,Special note:UNIDO Estimate
2004,Bolivia (Plurinational State of),068,Output,14,13,Output at producers' prices,19,"Leather, leather products and footwear",19,3.13110155E8,M,3.945307725E7,Special note:UNIDO Estimate
2004,Bolivia (Plurinational State of),068,Output,14,13,Output at producers' prices,20,Wood products (excl. furniture),20,2.72378071E8,M,3.432067885E7,Special note:UNIDO Estimate
2004,Bolivia (Plurinational State of),068,Output,14,13,Output at producers' prices,21,Paper and paper products,21,4.75320544E8,M,5.989220675E7,Special note:UNIDO Estimate
2004,Bolivia (Plurinational State of),068,Output,14,13,Output at producers' prices,22,Printing and publishing,22,5.66182406E8,M,7.134114893E7,Special note:UNIDO Estimate
